"Step","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_4 - train/loss","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_4 - train/loss__MIN","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_4 - train/loss__MAX","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_3 - train/loss","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_3 - train/loss__MIN","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_3 - train/loss__MAX","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_2 - train/loss","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_2 - train/loss__MIN","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_2 - train/loss__MAX","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_1 - train/loss","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_1 - train/loss__MIN","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_1 - train/loss__MAX","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_0 - train/loss","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_0 - train/loss__MIN","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_0 - train/loss__MAX"
"29","0.041316308081150055","0.041316308081150055","0.041316308081150055","0.04052208364009857","0.04052208364009857","0.04052208364009857","0.0408053919672966","0.0408053919672966","0.0408053919672966","0.04061831533908844","0.04061831533908844","0.04061831533908844","0.040361978113651276","0.040361978113651276","0.040361978113651276"
"30","0.04169738292694092","0.04169738292694092","0.04169738292694092","0.04045172780752182","0.04045172780752182","0.04045172780752182","0.04067275673151016","0.04067275673151016","0.04067275673151016","0.040367498993873596","0.040367498993873596","0.040367498993873596","0.03940749913454056","0.03940749913454056","0.03940749913454056"
"31","0.042362671345472336","0.042362671345472336","0.042362671345472336","0.04060272499918938","0.04060272499918938","0.04060272499918938","0.04012204706668854","0.04012204706668854","0.04012204706668854","0.04100288823246956","0.04100288823246956","0.04100288823246956","0.03916765749454498","0.03916765749454498","0.03916765749454498"
"32","0.042237259447574615","0.042237259447574615","0.042237259447574615","0.03984183445572853","0.03984183445572853","0.03984183445572853","0.03972059115767479","0.03972059115767479","0.03972059115767479","0.040407564491033554","0.040407564491033554","0.040407564491033554","0.039241619408130646","0.039241619408130646","0.039241619408130646"
"33","0.04117625951766968","0.04117625951766968","0.04117625951766968","0.03996658697724342","0.03996658697724342","0.03996658697724342","0.04014836624264717","0.04014836624264717","0.04014836624264717","0.04056701436638832","0.04056701436638832","0.04056701436638832","0.03907633572816849","0.03907633572816849","0.03907633572816849"
"34","0.04095687344670296","0.04095687344670296","0.04095687344670296","0.04000760614871979","0.04000760614871979","0.04000760614871979","0.040209658443927765","0.040209658443927765","0.040209658443927765","0.04058093950152397","0.04058093950152397","0.04058093950152397","0.03881221264600754","0.03881221264600754","0.03881221264600754"
"35","0.04042266309261322","0.04042266309261322","0.04042266309261322","0.03979857638478279","0.03979857638478279","0.03979857638478279","0.03946056216955185","0.03946056216955185","0.03946056216955185","0.04038441926240921","0.04038441926240921","0.04038441926240921","0.03923781216144562","0.03923781216144562","0.03923781216144562"
"36","0.04030764102935791","0.04030764102935791","0.04030764102935791","0.039660435169935226","0.039660435169935226","0.039660435169935226","0.039601799100637436","0.039601799100637436","0.039601799100637436","0.040581781417131424","0.040581781417131424","0.040581781417131424","0.03892206400632858","0.03892206400632858","0.03892206400632858"
"37","0.03988591954112053","0.03988591954112053","0.03988591954112053","0.03943726047873497","0.03943726047873497","0.03943726047873497","0.039399243891239166","0.039399243891239166","0.039399243891239166","0.0401432104408741","0.0401432104408741","0.0401432104408741","0.03847631439566612","0.03847631439566612","0.03847631439566612"
"38","0.04038665443658829","0.04038665443658829","0.04038665443658829","0.0391877144575119","0.0391877144575119","0.0391877144575119","0.03913183882832527","0.03913183882832527","0.03913183882832527","0.040066495537757874","0.040066495537757874","0.040066495537757874","0.03894002363085747","0.03894002363085747","0.03894002363085747"
"39","0.041134197264909744","0.041134197264909744","0.041134197264909744","0.03947346284985542","0.03947346284985542","0.03947346284985542","0.03916671499609947","0.03916671499609947","0.03916671499609947","0.03983825445175171","0.03983825445175171","0.03983825445175171","0.03832606226205826","0.03832606226205826","0.03832606226205826"
"40","0.0404326394200325","0.0404326394200325","0.0404326394200325","0.03947564214468002","0.03947564214468002","0.03947564214468002","0.03915590047836304","0.03915590047836304","0.03915590047836304","0.03944707289338112","0.03944707289338112","0.03944707289338112","0.03818869963288307","0.03818869963288307","0.03818869963288307"
"41","0.04025289788842201","0.04025289788842201","0.04025289788842201","0.03893725946545601","0.03893725946545601","0.03893725946545601","0.03884170576930046","0.03884170576930046","0.03884170576930046","0.0393269881606102","0.0393269881606102","0.0393269881606102","0.03821969032287598","0.03821969032287598","0.03821969032287598"
"42","0.040239367634058","0.040239367634058","0.040239367634058","0.03933649882674217","0.03933649882674217","0.03933649882674217","0.038876697421073914","0.038876697421073914","0.038876697421073914","0.03945009782910347","0.03945009782910347","0.03945009782910347","0.03860429301857948","0.03860429301857948","0.03860429301857948"
"43","0.04019171744585037","0.04019171744585037","0.04019171744585037","0.03902387619018555","0.03902387619018555","0.03902387619018555","0.038903482258319855","0.038903482258319855","0.038903482258319855","0.039250027388334274","0.039250027388334274","0.039250027388334274","0.0389077328145504","0.0389077328145504","0.0389077328145504"
"44","0.03981578350067139","0.03981578350067139","0.03981578350067139","0.03900624439120293","0.03900624439120293","0.03900624439120293","0.0387117937207222","0.0387117937207222","0.0387117937207222","0.03895147144794464","0.03895147144794464","0.03895147144794464","0.03842578083276749","0.03842578083276749","0.03842578083276749"
"45","0.040946148335933685","0.040946148335933685","0.040946148335933685","0.03897517919540405","0.03897517919540405","0.03897517919540405","0.038858119398355484","0.038858119398355484","0.038858119398355484","0.03910549357533455","0.03910549357533455","0.03910549357533455","0.03797449544072151","0.03797449544072151","0.03797449544072151"
"46","0.040110256522893906","0.040110256522893906","0.040110256522893906","0.039234504103660583","0.039234504103660583","0.039234504103660583","0.038838379085063934","0.038838379085063934","0.038838379085063934","0.038987938314676285","0.038987938314676285","0.038987938314676285","0.037996336817741394","0.037996336817741394","0.037996336817741394"
"47","0.04100298136472702","0.04100298136472702","0.04100298136472702","0.03882267698645592","0.03882267698645592","0.03882267698645592","0.03838846832513809","0.03838846832513809","0.03838846832513809","0.038706280291080475","0.038706280291080475","0.038706280291080475","0.038336820900440216","0.038336820900440216","0.038336820900440216"
"48","0.040278367698192596","0.040278367698192596","0.040278367698192596","0.03913658857345581","0.03913658857345581","0.03913658857345581","0.03815346583724022","0.03815346583724022","0.03815346583724022","0.038643062114715576","0.038643062114715576","0.038643062114715576","0.037868861109018326","0.037868861109018326","0.037868861109018326"
"49","0.039575494825839996","0.039575494825839996","0.039575494825839996","0.0389750599861145","0.0389750599861145","0.0389750599861145","0.03786228224635124","0.03786228224635124","0.03786228224635124","0.03913098946213722","0.03913098946213722","0.03913098946213722","0.037677787244319916","0.037677787244319916","0.037677787244319916"
