"Step","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_3 - train/loss","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_3 - train/loss__MIN","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_3 - train/loss__MAX","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_4 - train/loss","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_4 - train/loss__MIN","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_4 - train/loss__MAX","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_2 - train/loss","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_2 - train/loss__MIN","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_2 - train/loss__MAX","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_1 - train/loss","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_1 - train/loss__MIN","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_1 - train/loss__MAX","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_0 - train/loss","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_0 - train/loss__MIN","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_0 - train/loss__MAX"
"20","0.0437629297375679","0.0437629297375679","0.0437629297375679","0.03986167162656784","0.03986167162656784","0.03986167162656784","0.041518229991197586","0.041518229991197586","0.041518229991197586","0.03974327817559242","0.03974327817559242","0.03974327817559242","0.03937888145446777","0.03937888145446777","0.03937888145446777"
"21","0.04266652837395668","0.04266652837395668","0.04266652837395668","0.039828039705753326","0.039828039705753326","0.039828039705753326","0.04132678732275963","0.04132678732275963","0.04132678732275963","0.039293333888053894","0.039293333888053894","0.039293333888053894","0.03914939612150192","0.03914939612150192","0.03914939612150192"
"22","0.04169829189777374","0.04169829189777374","0.04169829189777374","0.039951104670763016","0.039951104670763016","0.039951104670763016","0.041350558400154114","0.041350558400154114","0.041350558400154114","0.03920324146747589","0.03920324146747589","0.03920324146747589","0.03868801146745682","0.03868801146745682","0.03868801146745682"
"23","0.04144548997282982","0.04144548997282982","0.04144548997282982","0.039207447320222855","0.039207447320222855","0.039207447320222855","0.040791209787130356","0.040791209787130356","0.040791209787130356","0.03892464190721512","0.03892464190721512","0.03892464190721512","0.03896205872297287","0.03896205872297287","0.03896205872297287"
"24","0.04077134281396866","0.04077134281396866","0.04077134281396866","0.03912622481584549","0.03912622481584549","0.03912622481584549","0.0398145355284214","0.0398145355284214","0.0398145355284214","0.039418675005435944","0.039418675005435944","0.039418675005435944","0.03929263725876808","0.03929263725876808","0.03929263725876808"
"25","0.04173017665743828","0.04173017665743828","0.04173017665743828","0.03932144492864609","0.03932144492864609","0.03932144492864609","0.0402299128472805","0.0402299128472805","0.0402299128472805","0.03911833465099335","0.03911833465099335","0.03911833465099335","0.03916095569729805","0.03916095569729805","0.03916095569729805"
"26","0.04161100089550018","0.04161100089550018","0.04161100089550018","0.03904629871249199","0.03904629871249199","0.03904629871249199","0.03974224254488945","0.03974224254488945","0.03974224254488945","0.03925561532378197","0.03925561532378197","0.03925561532378197","0.03871127590537071","0.03871127590537071","0.03871127590537071"
"27","0.039760999381542206","0.039760999381542206","0.039760999381542206","0.03886043280363083","0.03886043280363083","0.03886043280363083","0.03986760601401329","0.03986760601401329","0.03986760601401329","0.039074111729860306","0.039074111729860306","0.039074111729860306","0.03902342543005943","0.03902342543005943","0.03902342543005943"
"28","0.04026344045996666","0.04026344045996666","0.04026344045996666","0.038985904306173325","0.038985904306173325","0.038985904306173325","0.03959542140364647","0.03959542140364647","0.03959542140364647","0.03890177980065346","0.03890177980065346","0.03890177980065346","0.03841814026236534","0.03841814026236534","0.03841814026236534"
"29","0.03917588293552399","0.03917588293552399","0.03917588293552399","0.039023999124765396","0.039023999124765396","0.039023999124765396","0.03951578959822655","0.03951578959822655","0.03951578959822655","0.038862284272909164","0.038862284272909164","0.038862284272909164","0.03830352798104286","0.03830352798104286","0.03830352798104286"
"30","0.041150834411382675","0.041150834411382675","0.041150834411382675","0.03915118798613548","0.03915118798613548","0.03915118798613548","0.04047781601548195","0.04047781601548195","0.04047781601548195","0.038451358675956726","0.038451358675956726","0.038451358675956726","0.03814513608813286","0.03814513608813286","0.03814513608813286"
"31","0.04119756072759628","0.04119756072759628","0.04119756072759628","0.03876668959856033","0.03876668959856033","0.03876668959856033","0.040738437324762344","0.040738437324762344","0.040738437324762344","0.039038464426994324","0.039038464426994324","0.039038464426994324","0.038318950682878494","0.038318950682878494","0.038318950682878494"
"32","0.0394974984228611","0.0394974984228611","0.0394974984228611","0.03854559361934662","0.03854559361934662","0.03854559361934662","0.0399034284055233","0.0399034284055233","0.0399034284055233","0.03814201056957245","0.03814201056957245","0.03814201056957245","0.03834027424454689","0.03834027424454689","0.03834027424454689"
"33","0.039248988032341","0.039248988032341","0.039248988032341","0.03858407586812973","0.03858407586812973","0.03858407586812973","0.03956538438796997","0.03956538438796997","0.03956538438796997","0.038235604763031006","0.038235604763031006","0.038235604763031006","0.03795217350125313","0.03795217350125313","0.03795217350125313"
"34","0.03894656151533127","0.03894656151533127","0.03894656151533127","0.03835681825876236","0.03835681825876236","0.03835681825876236","0.039684515446424484","0.039684515446424484","0.039684515446424484","0.037990503013134","0.037990503013134","0.037990503013134","0.03800222650170326","0.03800222650170326","0.03800222650170326"
"35","0.03922675549983978","0.03922675549983978","0.03922675549983978","0.03832269459962845","0.03832269459962845","0.03832269459962845","0.038967110216617584","0.038967110216617584","0.038967110216617584","0.03824388235807419","0.03824388235807419","0.03824388235807419","0.03769207000732422","0.03769207000732422","0.03769207000732422"
"36","0.039058055728673935","0.039058055728673935","0.039058055728673935","0.03829682618379593","0.03829682618379593","0.03829682618379593","0.038668952882289886","0.038668952882289886","0.038668952882289886","0.0385386198759079","0.0385386198759079","0.0385386198759079","0.0374743789434433","0.0374743789434433","0.0374743789434433"
"37","0.03872833028435707","0.03872833028435707","0.03872833028435707","0.03795928135514259","0.03795928135514259","0.03795928135514259","0.03908538818359375","0.03908538818359375","0.03908538818359375","0.03793637827038765","0.03793637827038765","0.03793637827038765","0.0377981923520565","0.0377981923520565","0.0377981923520565"
"38","0.039283595979213715","0.039283595979213715","0.039283595979213715","0.03801297768950462","0.03801297768950462","0.03801297768950462","0.03906723111867905","0.03906723111867905","0.03906723111867905","0.03806430101394653","0.03806430101394653","0.03806430101394653","0.0376284122467041","0.0376284122467041","0.0376284122467041"
"39","0.03892485424876213","0.03892485424876213","0.03892485424876213","0.03792858123779297","0.03792858123779297","0.03792858123779297","0.038593146950006485","0.038593146950006485","0.038593146950006485","0.037875790148973465","0.037875790148973465","0.037875790148973465","0.03764685243368149","0.03764685243368149","0.03764685243368149"
"40","0.038182273507118225","0.038182273507118225","0.038182273507118225","0.03823194280266762","0.03823194280266762","0.03823194280266762","0.03822677955031395","0.03822677955031395","0.03822677955031395","0.037606995552778244","0.037606995552778244","0.037606995552778244","0.0373150072991848","0.0373150072991848","0.0373150072991848"
"41","0.03797805309295654","0.03797805309295654","0.03797805309295654","0.03798549994826317","0.03798549994826317","0.03798549994826317","0.03847048059105873","0.03847048059105873","0.03847048059105873","0.037692226469516754","0.037692226469516754","0.037692226469516754","0.03766199201345444","0.03766199201345444","0.03766199201345444"
"42","0.037691809237003326","0.037691809237003326","0.037691809237003326","0.03771142289042473","0.03771142289042473","0.03771142289042473","0.04115964472293854","0.04115964472293854","0.04115964472293854","0.03783177211880684","0.03783177211880684","0.03783177211880684","0.03694268688559532","0.03694268688559532","0.03694268688559532"
"43","0.03864530473947525","0.03864530473947525","0.03864530473947525","0.037404730916023254","0.037404730916023254","0.037404730916023254","0.04178914800286293","0.04178914800286293","0.04178914800286293","0.03729362413287163","0.03729362413287163","0.03729362413287163","0.03707987070083618","0.03707987070083618","0.03707987070083618"
"44","0.03813200071454048","0.03813200071454048","0.03813200071454048","0.037556376308202744","0.037556376308202744","0.037556376308202744","0.040258798748254776","0.040258798748254776","0.040258798748254776","0.03718649595975876","0.03718649595975876","0.03718649595975876","0.03659437969326973","0.03659437969326973","0.03659437969326973"
"45","0.037574172019958496","0.037574172019958496","0.037574172019958496","0.03775579109787941","0.03775579109787941","0.03775579109787941","0.039013735949993134","0.039013735949993134","0.039013735949993134","0.03763975203037262","0.03763975203037262","0.03763975203037262","0.037249404937028885","0.037249404937028885","0.037249404937028885"
"46","0.03851650282740593","0.03851650282740593","0.03851650282740593","0.037322450429201126","0.037322450429201126","0.037322450429201126","0.03893943503499031","0.03893943503499031","0.03893943503499031","0.03795464709401131","0.03795464709401131","0.03795464709401131","0.037437207996845245","0.037437207996845245","0.037437207996845245"
"47","0.037917546927928925","0.037917546927928925","0.037917546927928925","0.037400927394628525","0.037400927394628525","0.037400927394628525","0.03849625959992409","0.03849625959992409","0.03849625959992409","0.03815054893493652","0.03815054893493652","0.03815054893493652","0.03687542304396629","0.03687542304396629","0.03687542304396629"
"48","0.037638500332832336","0.037638500332832336","0.037638500332832336","0.03712563216686249","0.03712563216686249","0.03712563216686249","0.0384552925825119","0.0384552925825119","0.0384552925825119","0.03725830838084221","0.03725830838084221","0.03725830838084221","0.03676963597536087","0.03676963597536087","0.03676963597536087"
"49","0.039027001708745956","0.039027001708745956","0.039027001708745956","0.0371277816593647","0.0371277816593647","0.0371277816593647","0.03876825422048569","0.03876825422048569","0.03876825422048569","0.0370163694024086","0.0370163694024086","0.0370163694024086","0.03705251216888428","0.03705251216888428","0.03705251216888428"
